,sex,length,diameter,height,whole-weight,shucked-weight,viscera-weight,shell-weight,rings
0,M,1.0796139603239587,-0.3224907281999783,-0.1874234386651974,0.7127847592491066,0.9849446455759748,0.992404354427525,0.2784605610285066,15
1,M,0.020153528345477234,0.007951381305939753,-0.3663543028244389,-1.125271614276469,-1.0867202945046546,-0.9841599903285903,-0.0620323518374688,7
2,F,0.5371975892387827,1.0744322659342633,0.496999782942703,-0.22185273287853818,0.6203918685230174,1.4504565590162632,0.5745134880075009,9
3,M,0.7304623583900384,0.5848091899147412,0.3370335628153253,1.278752424591435,-0.6264576338034304,0.6540223267129966,-0.5475817847704005,10
4,I,-0.735715907304318,-0.6846760075385896,-1.1493847685862815,0.015034364347114026,0.6412452546358705,0.5532889501433513,-0.41506929710154683,7
5,I,0.8232772361285345,0.3744716713054821,0.18982250173895987,0.7111387455938407,-0.9271885000232233,-0.5919311256023735,-0.05267280521457596,8
6,F,0.37919653747197185,0.3502022103929893,0.5328974259250591,0.40351501147348134,-0.08993353410213056,-0.1427647478113543,2.2580281164589344,20
7,F,1.066447021251488,0.2225156611727891,-0.17752284652333478,0.4403856809245614,1.0708758111107106,1.5443826214653371,1.1632312415460178,16
8,M,0.7454545666655893,0.6252172617884366,-0.14488232758979774,1.1043417676372098,0.13898690698603822,0.8679680509529307,-0.12293152494280113,9
9,F,2.0794543823834384,0.8526093997998343,1.2269385933917825,1.529312861867693,0.4002107269488519,1.1706543075772156,0.8277825285618875,19
10,F,0.6517711569555168,0.7543076049649058,1.6807800005953342,-0.15818958410452305,0.9378729240744573,-0.24331970087192023,0.6247087172265107,14
11,M,0.04085900577013102,0.07256375570941198,0.611062360622577,0.4466391839740721,1.1110105833917474,-0.15853671729859775,0.5204180770440341,10
12,M,0.6963763808408444,0.20729130117148498,1.8907050664457143,0.25059979475680305,0.675232457770736,-0.4688669430682556,0.6715078317575768,11
